epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2218.32,2.11662,1.59387,0.97367,0.54796,0.61482,0.60151,0.24622,1.88407,1.05368,0.9124,0.000551291,0.000551291,0.000551291
2,4364.49,1.86935,1.05554,0.91213,0.67199,0.52234,0.61088,0.24196,1.98823,1.01324,0.92866,0.00105216,0.00105216,0.00105216
3,6488.76,1.79641,0.97283,0.89816,0.57644,0.62596,0.59258,0.22467,2.05499,0.98017,0.94144,0.00149802,0.00149802,0.00149802
4,8610.6,1.71459,0.91592,0.88803,0.51425,0.52796,0.49683,0.18044,2.02613,1.21016,0.9297,0.00141945,0.00141945,0.00141945
5,10721.9,1.62874,0.83878,0.87337,0.5775,0.64882,0.57434,0.21583,1.98293,0.92555,0.92277,0.00133693,0.00133693,0.00133693
6,12813.8,1.57765,0.79835,0.85852,0.62361,0.67003,0.6317,0.25184,1.87296,0.91179,0.90635,0.00125442,0.00125442,0.00125442
7,14897.7,1.52722,0.76851,0.85443,0.58513,0.61056,0.5612,0.2175,1.90307,0.90067,0.91963,0.0011719,0.0011719,0.0011719
8,17126.5,1.47415,0.73004,0.84831,0.52383,0.6286,0.53448,0.20276,1.96262,0.94227,0.93104,0.00108938,0.00108938,0.00108938
9,19297.8,1.408,0.69704,0.84162,0.61021,0.64324,0.56949,0.20928,1.98633,0.94925,0.93286,0.00100687,0.00100687,0.00100687
10,21418.5,1.36963,0.67262,0.83783,0.65168,0.7094,0.6495,0.24593,1.92012,0.91581,0.91604,0.000924352,0.000924352,0.000924352
11,23505,1.31743,0.66501,0.8536,0.54367,0.58136,0.50772,0.19302,2.115,0.96299,0.96505,0.000841835,0.000841835,0.000841835
12,25642.8,1.27374,0.6379,0.8446,0.58734,0.67968,0.6066,0.2197,2.04254,0.9561,0.932,0.000759318,0.000759318,0.000759318
13,27731.7,1.23868,0.61577,0.84356,0.60352,0.6306,0.59109,0.21966,2.08404,0.92421,0.93709,0.000676802,0.000676802,0.000676802
14,29823.7,1.20242,0.603,0.83791,0.57464,0.63694,0.5524,0.23102,1.86054,0.9152,0.91429,0.000594286,0.000594286,0.000594286
15,31871.4,1.1593,0.58091,0.83121,0.59587,0.60681,0.54758,0.2105,1.97996,0.952,0.92917,0.000511769,0.000511769,0.000511769
16,33858.6,1.11977,0.56111,0.82561,0.58302,0.60559,0.54782,0.21473,1.98763,0.93332,0.93424,0.000429253,0.000429253,0.000429253
17,35859.9,1.09551,0.54618,0.8232,0.62681,0.63721,0.58479,0.23212,1.90724,0.9232,0.9153,0.000346736,0.000346736,0.000346736
18,37871.9,1.06286,0.53054,0.82001,0.57706,0.66447,0.54609,0.21473,1.98825,0.94919,0.92737,0.00026422,0.00026422,0.00026422
19,2217.79,1.03392,0.53129,0.81701,0.6214,0.65264,0.59586,0.23006,1.94675,0.93914,0.9224,0.000181703,0.000181703,0.000181703
20,4303.32,1.00324,0.50586,0.81416,0.58101,0.66862,0.56541,0.22754,1.94133,0.94567,0.92221,9.91865e-05,9.91865e-05,9.91865e-05
